TERM_CODE,CRN,TERM_DESC,TITLE,SUBJ_CODE,SUBJ_DESC,CRSE_NUM,SEQ_NUM,XLST_GROUP,SCHD_DESC,MAX_ENRL,CREDIT_HR,COLL_DESC,DEPT_DESC,BLDG_DESC,ROOM_CODE,BEGIN_TIME,END_TIME,START_DATE,END_DATE,SUN_DAY,MON_DAY,TUE_DAY,WED_DAY,THU_DAY,FRI_DAY,SAT_DAY,HRS_WEEK
202170,2371,Autumn Quarter 2021,General Ecology,BIOL,Biology,2010,2,,Combined/Hybrid Methodologies,60,4,Natural Sciences & Mathematics,Biological Sciences,Sturm Hall,254,1000,1150,11-Sep-21,19-Nov-21,,,T,,,,,1.83
202170,2944,Autumn Quarter 2021,Social Science-Secondary Schl,TEP,Teacher Ed Prep,4620,1,,Combined/Hybrid Methodologies,15,4,Education,Teaching & Learning Science,***,***,1600,1920,11-Sep-21,19-Nov-21,,M,,,,,,3.33
202170,2945,Autumn Quarter 2021,Science in Secondary School,TEP,Teacher Ed Prep,4630,1,,Combined/Hybrid Methodologies,15,4,Education,Teaching & Learning Science,***,435,1600,1920,11-Sep-21,19-Nov-21,,M,,,,,,3.33
202170,2946,Autumn Quarter 2021,Math in Secondary School,TEP,Teacher Ed Prep,4640,1,,Combined/Hybrid Methodologies,15,4,Education,Teaching & Learning Science,***,490,1600,1920,11-Sep-21,19-Nov-21,,M,,,,,,0.5
202170,5984,Autumn Quarter 2021,Instructional Leadership,ADMN,K-12 Administration,4841,3,,Combined/Hybrid Methodologies,25,5,Education,Ed Leadership & Policy Studies,Katherine A. Ruffatto Hall,***,0900,1600,11-Sep-21,30-Oct-21,,,,,,,S,7
202170,2968,Autumn Quarter 2021,Instructional Leadership,ADMN,K-12 Administration,4841,1,,Combined/Hybrid Methodologies,25,5,Education,Ed Leadership & Policy Studies,Katherine A. Ruffatto Hall,202,0900,1650,11-Sep-21,30-Oct-21,,,,,,,S,7.83
202170,2963,Autumn Quarter 2021,Language Devel & Strat for CLD,CUI,Curriculum and Instruction,4531,1,,Combined/Hybrid Methodologies,20,3,Education,Teaching & Learning Science,***,408,1600,1820,11-Sep-21,19-Nov-21,,,T,,,,,2.33
202170,4133,Autumn Quarter 2021,Cognitive & Affective Models,CPSY,Clinical Psychology,5010,1,,Combined/Hybrid Methodologies,43,3,Professional Psychology,Professional Psychology,Ammi Hyde Building,108,1600,1850,11-Sep-21,23-Nov-21,,,,W,,,,2.83
202170,1984,Autumn Quarter 2021,General Ecology,BIOL,Biology,2010,1,,Combined/Hybrid Methodologies,60,4,Natural Sciences & Mathematics,Biological Sciences,Sturm Hall,453,1000,1150,11-Sep-21,19-Nov-21,,M,,,,,,1.83
202170,1874,Autumn Quarter 2021,"Curr,Inst&Assmt:Thry & Prac I",CUI,Curriculum and Instruction,4540,2,,Combined/Hybrid Methodologies,17,3,Education,Teaching & Learning Science,***,409,1300,1530,11-Sep-21,19-Nov-21,,M,,,,,,2.5
